var.name.era5,var.name.cordex,var.name.CG,var.unit.era5,var.unit.cordex,var.final.unit,conv.factor.era5,conv.factor.cordex,conv.factor.CG,era5.land.cumul,era5.only
total_precipitation,pr,PRECIP_QUANTITY,m/hr,mm/s,mm/day,24000,86400,1,1,0
total_precipitation_max,prhmax,PRECIP_1H_MAX,m/hr,mm/s,mm/day,24000,86400,1,1,0
snowfall,prsn,,m/hr,mm/s,mm/day,24000,86400,0,1,0
total_column_water_vapour,prw,,mm,mm,mm,1,1,0,0,1
snow_depth,snw,,cm,mm,mm,100,1,0,0,0 
snow_depth_water_equivalent,snd,,m,mm,mm,0.1,0.001,0,1,0
volumetric_soil_water_layer_1,mrso,,m,mm,mm,1000,1,0,0,0
surface_runoff,mrros,,m/hr,mm/s,mm/day,24000,86400,0,1,0
runoff,mrro,,m/hr,mm/s,mm/day,24000,86400,0,1,0
2m_temperature,tas,TEMP_AVG,K,K,K,1,1,1,0,0
2m_temperature_max,tasmax,TEMP_MAX,K,K,K,1,1,1,0,0
2m_temperature_min,tasmin,TEMP_MIN,K,K,K,1,1,1,0,0
skin_temperature,ts,,K,K,K,1,1,0,0,0
evaporation,evspsbl,EVAPOTRANS_REF,m/hr,mm/s,mm/day,-24000,86400,1,1,0
potential_evaporation,evspsblpot,EVAPOTRANS_REF,m/hr,mm/s,mm/day,-24000,86400,1,1,0
10m_w_component_of_wind,uas,WIND_SPEED,m/s,m/s,m/s,1,1,1,0,0
10m_v_component_of_wind,sfcWind,WIND_SPEED,m/s,m/s,m/s,1,1,1,0,0
10m_w_component_of_wind_max,sfcWindmax,WIND_PEAK_SPEED,m/s,m/s,m/s,1,1,1,0,0
10m_wind_gust_since_previous_post_processing_max,wsgsmax,,m/s,m/s,m/s,1,1,0,0,1
surface_latent_heat_flux,hfls,,J/m^2,W/m^2,W/m^2,-0.000277777,1,0,1,0
surface_sensible_heat_flux,hfss,,J/m^2,W/m^2,W/m^2,-0.000277777,1,0,1,0
surface_solar_radiation_downwards,rsds,SHORT_WAVE_FROM_SKY,J/m^2,W/m^2,W/m^2,0.000277777,1,41.66666,1,0
surface_thermal_radiation_downwards,rlds,,J/m^2,W/m^2,W/m^2,0.000277777,1,0,1,0
surface_pressure,ps,,Pa,Pa,hPa,1,1,100,0,0
mean_sea_level_pressure,psl,PRESSURE,Pa,Pa,Pa,1,1,100,0,1
boundary_layer_height,zmla,,m,m,m,1,1,0,0,1
total_cloud_cover,clt,,1,%,%,100,1,0,0,1
toa_incident_solar_radiation,rsdt,,J/m^2,W/m^2,W/m^2,1.15741E-05,1,0,1,1
,hurs,HUMIDITY_RELATIVE,,%,,%,1,1,1,0

