domain,rcm_institute,gcm_model,experiment,ensemble,rcm_model,rcm_version,time_frequency,variable,dir.name,dir.name.full,tot.size,init.yr,end.yr,amt.yr,amt.file,dir.name.full.no.var,run
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,cape,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/cape,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/cape,15221520,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,clt,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/clt,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/clt,1020044584,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,huss,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/huss,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/huss,1126368584,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,pr,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/pr,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/pr,869394306,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,prsn,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/prsn,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/prsn,163312941,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,prw,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/prw,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/prw,1117637474,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,ps,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/ps,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/ps,968035953,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,rlds,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rlds,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rlds,1059543506,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,rsds,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rsds,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rsds,1777319496,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,rsdsdiff,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rsdsdiff,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/rsdsdiff,1224173881,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
be-04,KULeuven,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-5.0-TERRA-URB,v1,day,snd,be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/snd,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/snd,137484207,1979,2015,36,36,/mnt/HDS_CORDEXBE_RMIB/bertvs//be-04/KULeuven/ECMWF-ERAINT/evaluation/r1i1p1/COSMO-5.0-TERRA-URB/v1/day/,ECMWF-ERAINT_r1i1p1_COSMO-5.0-TERRA-URB_v1_be-04
